Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
3/10/21 3:02,663,13.26,0.02
3/10/21 3:03,664,13.28,0.02
3/10/21 3:04,665,13.3,0.02
3/10/21 3:05,666,13.32,0.02
3/10/21 3:07,667,13.34,0.02
3/10/21 3:09,668,13.36,0.02
3/10/21 3:11,669,13.38,0.02
3/10/21 3:14,670,13.4,0.02
3/10/21 3:16,671,13.42,0.02
3/10/21 3:20,672,13.44,0.02
3/10/21 3:23,673,13.46,0.02
3/10/21 3:26,674,13.48,0.02
3/10/21 3:31,675,13.5,0.02
3/10/21 3:35,676,13.52,0.02
3/10/21 3:41,677,13.54,0.02
3/10/21 3:44,678,13.56,0.02
3/10/21 3:50,679,13.58,0.02
3/10/21 3:55,680,13.6,0.02
3/10/21 4:02,681,13.62,0.02
3/10/21 4:09,682,13.64,0.02
3/10/21 4:14,683,13.66,0.02
3/10/21 4:29,684,13.68,0.02
3/10/21 4:45,685,13.7,0.02
3/10/21 4:59,686,13.72,0.02
3/10/21 5:03,687,13.74,0.02
